wavelength,Corolla_Lobe,Corolla_Tube,Leaves
300.2,5.293 ,1.784 ,0.461 
300.41,5.297 ,1.788 ,0.465 
300.62,5.301 ,1.793 ,0.468 
300.83,5.305 ,1.797 ,0.472 
301.04,5.309 ,1.802 ,0.476 
301.25,5.313 ,1.807 ,0.480 
301.46,5.317 ,1.811 ,0.484 
301.67,5.321 ,1.816 ,0.487 
301.89,5.325 ,1.820 ,0.491 
302.1,5.329 ,1.825 ,0.495 
302.31,5.333 ,1.829 ,0.499 
302.52,5.337 ,1.834 ,0.503 
302.73,5.341 ,1.838 ,0.507 
302.94,5.345 ,1.843 ,0.511 
303.15,5.349 ,1.847 ,0.514 
303.36,5.353 ,1.852 ,0.518 
303.57,5.357 ,1.856 ,0.522 
303.78,5.361 ,1.860 ,0.526 
303.99,5.364 ,1.865 ,0.530 
304.2,5.368 ,1.869 ,0.534 
304.41,5.372 ,1.874 ,0.538 
304.62,5.376 ,1.878 ,0.542 
304.83,5.380 ,1.882 ,0.546 
305.04,5.383 ,1.887 ,0.550 
305.25,5.387 ,1.891 ,0.554 
305.47,5.391 ,1.896 ,0.558 
305.68,5.394 ,1.900 ,0.562 
305.89,5.398 ,1.904 ,0.566 
306.1,5.402 ,1.908 ,0.570 
306.31,5.405 ,1.913 ,0.574 
306.52,5.409 ,1.917 ,0.578 
306.73,5.412 ,1.921 ,0.582 
306.94,5.416 ,1.926 ,0.586 
307.15,5.419 ,1.930 ,0.591 
307.36,5.423 ,1.934 ,0.595 
307.57,5.426 ,1.938 ,0.599 
307.78,5.430 ,1.943 ,0.603 
307.99,5.433 ,1.947 ,0.607 
308.2,5.437 ,1.951 ,0.611 
308.41,5.440 ,1.955 ,0.616 
308.62,5.443 ,1.960 ,0.620 
308.83,5.447 ,1.964 ,0.624 
309.04,5.450 ,1.968 ,0.628 
309.25,5.453 ,1.972 ,0.633 
309.46,5.456 ,1.976 ,0.637 
309.67,5.460 ,1.980 ,0.641 
309.88,5.463 ,1.984 ,0.645 
310.09,5.466 ,1.988 ,0.650 
310.3,5.469 ,1.992 ,0.654 
310.51,5.472 ,1.997 ,0.658 
310.72,5.476 ,2.001 ,0.663 
310.93,5.479 ,2.005 ,0.667 
311.14,5.482 ,2.009 ,0.671 
311.35,5.485 ,2.013 ,0.676 
311.56,5.488 ,2.017 ,0.680 
311.77,5.491 ,2.020 ,0.684 
311.98,5.494 ,2.024 ,0.689 
312.19,5.497 ,2.028 ,0.693 
312.4,5.500 ,2.032 ,0.698 
312.61,5.503 ,2.036 ,0.702 
312.83,5.506 ,2.040 ,0.706 
313.04,5.509 ,2.044 ,0.711 
313.25,5.511 ,2.048 ,0.715 
313.46,5.514 ,2.051 ,0.719 
313.67,5.517 ,2.055 ,0.724 
313.88,5.520 ,2.059 ,0.728 
314.09,5.523 ,2.063 ,0.732 
314.3,5.526 ,2.066 ,0.737 
314.51,5.528 ,2.070 ,0.741 
314.72,5.531 ,2.074 ,0.746 
314.93,5.534 ,2.078 ,0.750 
315.14,5.537 ,2.082 ,0.755 
315.35,5.540 ,2.086 ,0.759 
315.56,5.543 ,2.090 ,0.764 
315.77,5.546 ,2.094 ,0.769 
315.98,5.549 ,2.098 ,0.773 
316.19,5.552 ,2.102 ,0.778 
316.4,5.555 ,2.106 ,0.783 
316.61,5.558 ,2.111 ,0.788 
316.81,5.561 ,2.115 ,0.792 
317.02,5.564 ,2.119 ,0.797 
317.23,5.567 ,2.123 ,0.802 
317.44,5.570 ,2.127 ,0.807 
317.65,5.573 ,2.131 ,0.812 
317.86,5.576 ,2.136 ,0.817 
318.07,5.578 ,2.140 ,0.822 
318.28,5.581 ,2.144 ,0.826 
318.49,5.584 ,2.148 ,0.831 
318.7,5.587 ,2.152 ,0.836 
318.91,5.590 ,2.156 ,0.841 
319.12,5.593 ,2.160 ,0.846 
319.33,5.595 ,2.164 ,0.851 
319.54,5.598 ,2.168 ,0.856 
319.75,5.601 ,2.172 ,0.861 
319.96,5.603 ,2.175 ,0.865 
320.17,5.606 ,2.179 ,0.870 
320.38,5.608 ,2.183 ,0.875 
320.59,5.610 ,2.186 ,0.880 
320.8,5.613 ,2.189 ,0.884 
321.01,5.615 ,2.193 ,0.889 
321.22,5.617 ,2.196 ,0.893 
321.43,5.619 ,2.199 ,0.898 
321.64,5.621 ,2.202 ,0.903 
321.85,5.623 ,2.205 ,0.908 
322.06,5.625 ,2.208 ,0.913 
322.27,5.627 ,2.211 ,0.918 
322.48,5.628 ,2.214 ,0.923 
322.69,5.630 ,2.217 ,0.928 
322.9,5.631 ,2.220 ,0.934 
323.11,5.633 ,2.223 ,0.939 
323.32,5.634 ,2.225 ,0.945 
323.53,5.635 ,2.228 ,0.950 
323.74,5.636 ,2.231 ,0.956 
323.95,5.637 ,2.233 ,0.962 
324.15,5.638 ,2.236 ,0.967 
324.36,5.639 ,2.238 ,0.973 
324.57,5.640 ,2.241 ,0.979 
324.78,5.641 ,2.243 ,0.984 
324.99,5.642 ,2.246 ,0.990 
325.2,5.643 ,2.248 ,0.995 
325.41,5.644 ,2.250 ,1.001 
325.62,5.644 ,2.252 ,1.006 
325.83,5.645 ,2.254 ,1.012 
326.04,5.646 ,2.257 ,1.017 
326.25,5.647 ,2.259 ,1.022 
326.46,5.647 ,2.260 ,1.027 
326.67,5.648 ,2.262 ,1.032 
326.88,5.649 ,2.264 ,1.037 
327.09,5.650 ,2.266 ,1.041 
327.3,5.650 ,2.267 ,1.045 
327.51,5.651 ,2.269 ,1.050 
327.72,5.652 ,2.271 ,1.054 
327.92,5.653 ,2.272 ,1.057 
328.13,5.654 ,2.273 ,1.061 
328.34,5.655 ,2.275 ,1.064 
328.55,5.656 ,2.276 ,1.068 
328.76,5.658 ,2.277 ,1.071 
328.97,5.659 ,2.279 ,1.074 
329.18,5.660 ,2.280 ,1.078 
329.39,5.662 ,2.282 ,1.081 
329.6,5.663 ,2.283 ,1.085 
329.81,5.665 ,2.285 ,1.088 
330.02,5.667 ,2.286 ,1.091 
330.23,5.668 ,2.288 ,1.095 
330.44,5.670 ,2.290 ,1.098 
330.64,5.672 ,2.291 ,1.101 
330.85,5.674 ,2.293 ,1.104 
331.06,5.675 ,2.294 ,1.108 
331.27,5.677 ,2.296 ,1.111 
331.48,5.679 ,2.297 ,1.114 
331.69,5.681 ,2.298 ,1.117 
331.9,5.682 ,2.300 ,1.120 
332.11,5.684 ,2.301 ,1.123 
332.32,5.686 ,2.302 ,1.125 
332.53,5.687 ,2.303 ,1.128 
332.74,5.689 ,2.304 ,1.131 
332.95,5.690 ,2.305 ,1.133 
333.15,5.692 ,2.306 ,1.135 
333.36,5.693 ,2.306 ,1.138 
333.57,5.694 ,2.307 ,1.140 
333.78,5.695 ,2.308 ,1.142 
333.99,5.696 ,2.308 ,1.144 
334.2,5.697 ,2.308 ,1.145 
334.41,5.698 ,2.308 ,1.147 
334.62,5.698 ,2.308 ,1.148 
334.83,5.699 ,2.308 ,1.150 
335.04,5.699 ,2.308 ,1.151 
335.24,5.699 ,2.307 ,1.152 
335.45,5.699 ,2.306 ,1.152 
335.66,5.699 ,2.305 ,1.152 
335.87,5.698 ,2.303 ,1.152 
336.08,5.697 ,2.301 ,1.151 
336.29,5.696 ,2.298 ,1.150 
336.5,5.694 ,2.295 ,1.149 
336.71,5.693 ,2.291 ,1.147 
336.92,5.691 ,2.288 ,1.145 
337.12,5.689 ,2.284 ,1.143 
337.33,5.686 ,2.280 ,1.140 
337.54,5.684 ,2.275 ,1.137 
337.75,5.681 ,2.271 ,1.134 
337.96,5.679 ,2.266 ,1.131 
338.17,5.676 ,2.261 ,1.128 
338.38,5.673 ,2.256 ,1.125 
338.59,5.671 ,2.251 ,1.121 
338.79,5.668 ,2.246 ,1.118 
339,5.665 ,2.241 ,1.115 
339.21,5.662 ,2.236 ,1.111 
339.42,5.660 ,2.231 ,1.108 
339.63,5.657 ,2.226 ,1.104 
339.84,5.655 ,2.222 ,1.101 
340.05,5.652 ,2.217 ,1.098 
340.26,5.650 ,2.213 ,1.095 
340.46,5.648 ,2.209 ,1.092 
340.67,5.646 ,2.205 ,1.090 
340.88,5.644 ,2.201 ,1.087 
341.09,5.643 ,2.198 ,1.085 
341.3,5.642 ,2.195 ,1.084 
341.51,5.641 ,2.193 ,1.082 
341.72,5.640 ,2.190 ,1.081 
341.92,5.640 ,2.189 ,1.080 
342.13,5.639 ,2.188 ,1.080 
342.34,5.639 ,2.186 ,1.079 
342.55,5.639 ,2.185 ,1.079 
342.76,5.639 ,2.184 ,1.078 
342.97,5.639 ,2.182 ,1.077 
343.18,5.639 ,2.181 ,1.076 
343.38,5.638 ,2.179 ,1.075 
343.59,5.638 ,2.177 ,1.074 
343.8,5.638 ,2.176 ,1.072 
344.01,5.637 ,2.174 ,1.071 
344.22,5.637 ,2.172 ,1.069 
344.43,5.637 ,2.171 ,1.068 
344.64,5.636 ,2.169 ,1.067 
344.84,5.636 ,2.168 ,1.065 
345.05,5.636 ,2.166 ,1.064 
345.26,5.636 ,2.165 ,1.062 
345.47,5.635 ,2.163 ,1.061 
345.68,5.635 ,2.162 ,1.060 
345.89,5.635 ,2.161 ,1.059 
346.09,5.635 ,2.159 ,1.058 
346.3,5.636 ,2.158 ,1.057 
346.51,5.636 ,2.158 ,1.056 
346.72,5.636 ,2.157 ,1.055 
346.93,5.637 ,2.156 ,1.055 
347.14,5.637 ,2.156 ,1.054 
347.34,5.638 ,2.156 ,1.054 
347.55,5.639 ,2.156 ,1.054 
347.76,5.640 ,2.156 ,1.054 
347.97,5.641 ,2.156 ,1.055 
348.18,5.642 ,2.157 ,1.055 
348.39,5.644 ,2.158 ,1.056 
348.59,5.646 ,2.159 ,1.058 
348.8,5.647 ,2.160 ,1.059 
349.01,5.649 ,2.162 ,1.061 
349.22,5.652 ,2.164 ,1.063 
349.43,5.654 ,2.166 ,1.065 
349.64,5.657 ,2.169 ,1.068 
349.84,5.660 ,2.172 ,1.071 
350.05,5.664 ,2.175 ,1.074 
350.26,5.667 ,2.179 ,1.077 
350.47,5.671 ,2.183 ,1.080 
350.68,5.675 ,2.187 ,1.084 
350.88,5.680 ,2.192 ,1.088 
351.09,5.684 ,2.196 ,1.091 
351.3,5.689 ,2.201 ,1.095 
351.51,5.693 ,2.206 ,1.100 
351.72,5.698 ,2.211 ,1.104 
351.92,5.703 ,2.217 ,1.108 
352.13,5.708 ,2.222 ,1.112 
352.34,5.713 ,2.228 ,1.117 
352.55,5.718 ,2.233 ,1.121 
352.76,5.723 ,2.239 ,1.126 
352.96,5.728 ,2.244 ,1.131 
353.17,5.733 ,2.250 ,1.135 
353.38,5.738 ,2.256 ,1.140 
353.59,5.743 ,2.261 ,1.144 
353.8,5.748 ,2.267 ,1.149 
354,5.753 ,2.272 ,1.154 
354.21,5.758 ,2.277 ,1.158 
354.42,5.762 ,2.282 ,1.163 
354.63,5.767 ,2.287 ,1.167 
354.84,5.771 ,2.292 ,1.172 
355.04,5.775 ,2.296 ,1.176 
355.25,5.779 ,2.300 ,1.181 
355.46,5.783 ,2.304 ,1.185 
355.67,5.786 ,2.308 ,1.189 
355.88,5.790 ,2.311 ,1.193 
356.08,5.793 ,2.315 ,1.197 
356.29,5.797 ,2.319 ,1.202 
356.5,5.801 ,2.323 ,1.207 
356.71,5.805 ,2.328 ,1.212 
356.92,5.810 ,2.333 ,1.217 
357.12,5.815 ,2.338 ,1.223 
357.33,5.820 ,2.343 ,1.229 
357.54,5.825 ,2.349 ,1.235 
357.75,5.830 ,2.355 ,1.241 
357.95,5.836 ,2.360 ,1.248 
358.16,5.841 ,2.367 ,1.254 
358.37,5.847 ,2.373 ,1.261 
358.58,5.853 ,2.379 ,1.268 
358.78,5.859 ,2.385 ,1.275 
358.99,5.864 ,2.392 ,1.282 
359.2,5.870 ,2.398 ,1.289 
359.41,5.876 ,2.404 ,1.296 
359.62,5.882 ,2.410 ,1.303 
359.82,5.887 ,2.417 ,1.310 
360.03,5.893 ,2.423 ,1.317 
360.24,5.899 ,2.429 ,1.323 
360.45,5.904 ,2.435 ,1.330 
360.65,5.909 ,2.440 ,1.337 
360.86,5.914 ,2.446 ,1.344 
361.07,5.919 ,2.451 ,1.350 
361.28,5.924 ,2.456 ,1.356 
361.48,5.928 ,2.461 ,1.363 
361.69,5.932 ,2.466 ,1.369 
361.9,5.936 ,2.470 ,1.374 
362.11,5.939 ,2.474 ,1.380 
362.31,5.942 ,2.478 ,1.385 
362.52,5.945 ,2.481 ,1.390 
362.73,5.948 ,2.484 ,1.395 
362.94,5.950 ,2.486 ,1.399 
363.14,5.952 ,2.488 ,1.403 
363.35,5.953 ,2.490 ,1.408 
363.56,5.954 ,2.492 ,1.412 
363.77,5.955 ,2.493 ,1.416 
363.97,5.956 ,2.494 ,1.420 
364.18,5.956 ,2.495 ,1.424 
364.39,5.956 ,2.495 ,1.428 
364.6,5.956 ,2.496 ,1.431 
364.8,5.956 ,2.496 ,1.435 
365.01,5.955 ,2.496 ,1.439 
365.22,5.955 ,2.496 ,1.442 
365.43,5.954 ,2.495 ,1.446 
365.63,5.953 ,2.495 ,1.449 
365.84,5.952 ,2.494 ,1.453 
366.05,5.951 ,2.494 ,1.456 
366.25,5.950 ,2.493 ,1.459 
366.46,5.949 ,2.492 ,1.462 
366.67,5.947 ,2.491 ,1.466 
366.88,5.946 ,2.490 ,1.469 
367.08,5.945 ,2.489 ,1.472 
367.29,5.943 ,2.488 ,1.475 
367.5,5.942 ,2.487 ,1.478 
367.71,5.940 ,2.486 ,1.481 
367.91,5.939 ,2.485 ,1.484 
368.12,5.938 ,2.484 ,1.487 
368.33,5.937 ,2.483 ,1.490 
368.53,5.935 ,2.482 ,1.493 
368.74,5.934 ,2.481 ,1.495 
368.95,5.934 ,2.481 ,1.498 
369.16,5.933 ,2.480 ,1.501 
369.36,5.932 ,2.480 ,1.504 
369.57,5.932 ,2.479 ,1.506 
369.78,5.931 ,2.479 ,1.509 
369.98,5.930 ,2.478 ,1.511 
370.19,5.929 ,2.477 ,1.514 
370.4,5.928 ,2.476 ,1.516 
370.61,5.926 ,2.474 ,1.518 
370.81,5.925 ,2.472 ,1.519 
371.02,5.923 ,2.470 ,1.521 
371.23,5.921 ,2.468 ,1.522 
371.43,5.919 ,2.466 ,1.524 
371.64,5.917 ,2.464 ,1.525 
371.85,5.915 ,2.461 ,1.527 
372.05,5.913 ,2.459 ,1.528 
372.26,5.910 ,2.456 ,1.529 
372.47,5.908 ,2.454 ,1.530 
372.68,5.906 ,2.451 ,1.531 
372.88,5.903 ,2.448 ,1.532 
373.09,5.901 ,2.446 ,1.533 
373.3,5.899 ,2.443 ,1.534 
373.5,5.897 ,2.440 ,1.535 
373.71,5.894 ,2.438 ,1.537 
373.92,5.892 ,2.436 ,1.538 
374.12,5.890 ,2.433 ,1.539 
374.33,5.888 ,2.431 ,1.540 
374.54,5.886 ,2.429 ,1.542 
374.74,5.885 ,2.427 ,1.543 
374.95,5.883 ,2.426 ,1.545 
375.16,5.882 ,2.424 ,1.546 
375.37,5.880 ,2.423 ,1.548 
375.57,5.879 ,2.422 ,1.550 
375.78,5.878 ,2.421 ,1.552 
375.99,5.878 ,2.421 ,1.555 
376.19,5.877 ,2.421 ,1.557 
376.4,5.877 ,2.421 ,1.560 
376.61,5.877 ,2.421 ,1.563 
376.81,5.877 ,2.421 ,1.565 
377.02,5.877 ,2.422 ,1.568 
377.23,5.877 ,2.422 ,1.571 
377.43,5.877 ,2.423 ,1.573 
377.64,5.876 ,2.423 ,1.576 
377.85,5.876 ,2.424 ,1.578 
378.05,5.876 ,2.425 ,1.581 
378.26,5.876 ,2.425 ,1.583 
378.47,5.876 ,2.426 ,1.586 
378.67,5.876 ,2.427 ,1.588 
378.88,5.876 ,2.428 ,1.591 
379.09,5.875 ,2.428 ,1.593 
379.29,5.875 ,2.429 ,1.596 
379.5,5.875 ,2.430 ,1.598 
379.71,5.875 ,2.431 ,1.601 
379.91,5.875 ,2.432 ,1.603 
380.12,5.875 ,2.433 ,1.606 
380.33,5.875 ,2.434 ,1.608 
380.53,5.875 ,2.435 ,1.611 
380.74,5.876 ,2.436 ,1.613 
380.94,5.876 ,2.438 ,1.616 
381.15,5.876 ,2.439 ,1.619 
381.36,5.876 ,2.440 ,1.622 
381.56,5.877 ,2.441 ,1.625 
381.77,5.877 ,2.442 ,1.628 
381.98,5.878 ,2.444 ,1.631 
382.18,5.878 ,2.445 ,1.634 
382.39,5.879 ,2.446 ,1.637 
382.6,5.880 ,2.448 ,1.640 
382.8,5.880 ,2.449 ,1.643 
383.01,5.881 ,2.450 ,1.647 
383.22,5.882 ,2.452 ,1.650 
383.42,5.883 ,2.453 ,1.654 
383.63,5.884 ,2.455 ,1.657 
383.83,5.886 ,2.457 ,1.661 
384.04,5.887 ,2.458 ,1.665 
384.25,5.889 ,2.460 ,1.668 
384.45,5.890 ,2.462 ,1.672 
384.66,5.892 ,2.464 ,1.676 
384.87,5.894 ,2.466 ,1.680 
385.07,5.895 ,2.468 ,1.684 
385.28,5.897 ,2.470 ,1.688 
385.48,5.899 ,2.473 ,1.692 
385.69,5.901 ,2.475 ,1.696 
385.9,5.903 ,2.477 ,1.700 
386.1,5.906 ,2.480 ,1.704 
386.31,5.908 ,2.482 ,1.709 
386.52,5.910 ,2.485 ,1.713 
386.72,5.913 ,2.487 ,1.717 
386.93,5.915 ,2.490 ,1.722 
387.13,5.917 ,2.493 ,1.726 
387.34,5.920 ,2.495 ,1.730 
387.55,5.922 ,2.498 ,1.735 
387.75,5.925 ,2.501 ,1.739 
387.96,5.927 ,2.504 ,1.744 
388.17,5.930 ,2.507 ,1.749 
388.37,5.933 ,2.509 ,1.753 
388.58,5.935 ,2.512 ,1.758 
388.78,5.938 ,2.515 ,1.763 
388.99,5.941 ,2.518 ,1.768 
389.2,5.943 ,2.521 ,1.772 
389.4,5.946 ,2.524 ,1.777 
389.61,5.949 ,2.527 ,1.782 
389.81,5.951 ,2.530 ,1.787 
390.02,5.954 ,2.533 ,1.792 
390.23,5.956 ,2.536 ,1.797 
390.43,5.959 ,2.539 ,1.802 
390.64,5.962 ,2.542 ,1.807 
390.84,5.965 ,2.545 ,1.813 
391.05,5.968 ,2.548 ,1.818 
391.26,5.971 ,2.551 ,1.823 
391.46,5.974 ,2.554 ,1.829 
391.67,5.977 ,2.557 ,1.835 
391.87,5.980 ,2.560 ,1.840 
392.08,5.983 ,2.563 ,1.846 
392.28,5.986 ,2.566 ,1.852 
392.49,5.989 ,2.569 ,1.857 
392.7,5.992 ,2.572 ,1.863 
392.9,5.995 ,2.575 ,1.869 
393.11,5.999 ,2.578 ,1.875 
393.31,6.002 ,2.581 ,1.881 
393.52,6.005 ,2.584 ,1.887 
393.73,6.008 ,2.587 ,1.893 
393.93,6.012 ,2.591 ,1.899 
394.14,6.015 ,2.594 ,1.905 
394.34,6.018 ,2.597 ,1.911 
394.55,6.022 ,2.601 ,1.917 
394.75,6.025 ,2.604 ,1.923 
394.96,6.028 ,2.608 ,1.929 
395.17,6.032 ,2.612 ,1.935 
395.37,6.035 ,2.615 ,1.941 
395.58,6.038 ,2.619 ,1.947 
395.78,6.041 ,2.623 ,1.953 
395.99,6.045 ,2.627 ,1.958 
396.19,6.048 ,2.631 ,1.964 
396.4,6.051 ,2.635 ,1.970 
396.61,6.054 ,2.639 ,1.976 
396.81,6.058 ,2.643 ,1.982 
397.02,6.061 ,2.647 ,1.988 
397.22,6.064 ,2.652 ,1.994 
397.43,6.068 ,2.656 ,2.000 
397.63,6.071 ,2.660 ,2.006 
397.84,6.074 ,2.664 ,2.013 
398.04,6.077 ,2.668 ,2.019 
398.25,6.081 ,2.672 ,2.026 
398.46,6.084 ,2.677 ,2.032 
398.66,6.088 ,2.681 ,2.039 
398.87,6.091 ,2.685 ,2.045 
399.07,6.094 ,2.689 ,2.052 
399.28,6.098 ,2.694 ,2.058 
399.48,6.101 ,2.698 ,2.065 
399.69,6.105 ,2.702 ,2.072 
399.89,6.108 ,2.707 ,2.078 
400.1,6.112 ,2.711 ,2.085 
400.3,6.115 ,2.716 ,2.091 
400.51,6.119 ,2.720 ,2.098 
400.72,6.122 ,2.725 ,2.105 
400.92,6.126 ,2.729 ,2.111 
401.13,6.130 ,2.734 ,2.118 
401.33,6.133 ,2.739 ,2.124 
401.54,6.137 ,2.744 ,2.131 
401.74,6.140 ,2.749 ,2.137 
401.95,6.144 ,2.754 ,2.143 
402.15,6.148 ,2.759 ,2.150 
402.36,6.152 ,2.764 ,2.156 
402.56,6.155 ,2.770 ,2.162 
402.77,6.159 ,2.775 ,2.168 
402.97,6.163 ,2.781 ,2.174 
403.18,6.167 ,2.787 ,2.180 
403.38,6.171 ,2.792 ,2.185 
403.59,6.175 ,2.798 ,2.191 
403.8,6.179 ,2.804 ,2.197 
404,6.183 ,2.811 ,2.203 
404.21,6.187 ,2.817 ,2.209 
404.41,6.191 ,2.823 ,2.215 
404.62,6.195 ,2.830 ,2.221 
404.82,6.199 ,2.837 ,2.227 
405.03,6.203 ,2.843 ,2.233 
405.23,6.208 ,2.850 ,2.240 
405.44,6.212 ,2.857 ,2.246 
405.64,6.216 ,2.864 ,2.252 
405.85,6.221 ,2.871 ,2.258 
406.05,6.225 ,2.878 ,2.265 
406.26,6.230 ,2.886 ,2.271 
406.46,6.234 ,2.893 ,2.277 
406.67,6.239 ,2.900 ,2.283 
406.87,6.243 ,2.908 ,2.290 
407.08,6.248 ,2.915 ,2.296 
407.28,6.252 ,2.923 ,2.302 
407.49,6.257 ,2.931 ,2.308 
407.69,6.261 ,2.938 ,2.314 
407.9,6.266 ,2.946 ,2.320 
408.1,6.270 ,2.954 ,2.326 
408.31,6.275 ,2.962 ,2.332 
